0.1,0.15,45.30,978,16,1134,826.48,
0.2,0.34,42.57,1938,30,2240,1468.68,
0.3,0.45,40.97,2848,40,3283,1865.74,
0.4,0.55,41.35,3745,44,4341,2050.94,
0.5,0.66,38.23,4657,54,5403,2331.21,
0.6,0.78,38.92,5546,72,6459,3114.78,
0.7,0.85,34.91,6505,72,7551,3036.13,
0.8,0.90,36.01,7469,74,8625,3181.37,
0.9,0.97,37.31,8383,83,9670,3601.78,
1.0,1.06,35.62,9278,83,10694,3611.68,
