Flow Num, Window Size, Bandwidth
1,20,16.213
1,20,33.639
1,20,62.753
1,20,125.602
1,20,247.515
1,20,458.191
1,20,912.402
1,20,1593.348
1,20,2547.808
1,20,9188.956
1,20,9201.866
1,20,9189.797
1,20,9201.319
1,20,9204.199
1,20,9203.267
1,20,8940.949
2,20,4593.665
3,20,3075.875
4,20,2308.010
5,20,1848.457
6,20,1541.461
7,20,1321.051
8,20,1156.349
