Flow Num, Window Size, Bandwidth
1,50,16.281
1,50,29.574
1,50,64.072
1,50,133.891
1,50,310.080
1,50,487.721
1,50,866.122
1,50,1567.922
1,50,2535.487
1,50,9230.518
1,50,9237.924
1,50,9240.528
1,50,9241.429
1,50,9242.465
1,50,9242.323
1,50,9170.755
2,50,4619.238
3,50,3080.695
4,50,2312.763
5,50,1852.150
6,50,1544.341
7,50,1324.945
8,50,1159.027
