Flow Num, Window Size, Bandwidth
1,20,12.052
1,20,42.093
1,20,68.506
1,20,132.398
1,20,246.955
1,20,379.163
1,20,944.296
1,20,1182.982
1,20,2488.410
1,20,9199.622
1,20,9197.585
1,20,9193.126
1,20,9197.058
1,20,9204.269
1,20,9205.295
1,20,9134.518
2,20,4613.457
3,20,3077.480
4,20,2309.741
5,20,1847.174
6,20,1540.886
7,20,1321.363
8,20,1156.663
