64,0.028,0.04,0.027,0.047,0.029
128,0.028,0.023,0.023,0.022,0.028
256,0.028,0.027,0.027,0.028,0.03
512,0.029,0.028,0.029,0.028,0.03
1024,0.03,0.03,0.031,0.038,0.03
2048,0.032,0.039,0.031,0.031,0.032
4096,0.031,0.029,0.031,0.03,0.03
8192,0.031,0.046,0.031,0.031,0.033
16384,0.037,0.039,0.038,0.039,0.039
