64,0.029,0.025,0.027,0.032,0.029
128,0.027,0.029,0.03,0.027,0.028
256,0.03,0.028,0.025,0.029,0.027
512,0.031,0.028,0.027,0.049,0.03
1024,0.032,0.03,0.05,0.025,0.03
2048,0.03,0.032,0.031,0.029,0.023
4096,0.024,0.031,0.032,0.032,0.031
8192,0.032,0.032,0.045,0.047,0.046
16384,0.025,0.033,0.034,0.034,0.036
