64,0.031,0.027,0.035
128,0.0308,0.03,0.032
256,0.0304,0.027,0.033
512,0.036,0.03,0.052
1024,0.0364,0.027,0.053
2048,0.0328,0.026,0.036
4096,0.0352,0.027,0.038
8192,0.052599999999999994,0.041,0.059
16384,0.04859999999999999,0.038,0.053
