Flow Size, Window Size, Bandwidth
64,20,10.225
128,20,43.837
256,20,67.068
512,20,130.537
1024,20,201.401
2048,20,471.889
4096,20,916.126
8192,20,1662.000
16384,20,2513.317
1073741824,20,9206.684
2147483648,20,9206.368
4294967296,20,9187.807
8589934592,20,9198.813
17179869184,20,9203.912
34359738368,20,9202.331
104857600,20,9047.290
104857600,20,9213.046
104857600,20,9231.360
104857600,20,9240.142
104857600,20,9241.867
104857600,20,9241.859
104857600,20,9254.592
104857600,20,9251.764
