Flow Size, Window Size, Bandwidth
64,20,17.090
128,20,33.430
256,20,66.050
512,20,129.485
1024,20,249.741
2048,20,458.255
4096,20,891.865
8192,20,1599.805
16384,20,2636.150
1073741824,20,9186.666
2147483648,20,9199.762
4294967296,20,9175.576
8589934592,20,9199.849
17179869184,20,9198.650
34359738368,20,9204.064
104857600,20,9008.333
104857600,20,9226.037
104857600,20,9212.408
104857600,20,9225.527
104857600,20,9242.854
104857600,20,9248.042
104857600,20,9245.326
104857600,20,9253.994
