Flow Size, Window Size, Bandwidth
64,20,12.052
128,20,42.093
256,20,68.506
512,20,132.398
1024,20,246.955
2048,20,379.163
4096,20,944.296
8192,20,1182.982
16384,20,2488.410
1073741824,20,9199.622
2147483648,20,9197.585
4294967296,20,9193.126
8589934592,20,9197.058
17179869184,20,9204.269
34359738368,20,9205.295
104857600,20,9134.518
104857600,20,9226.915
104857600,20,9232.441
104857600,20,9238.966
104857600,20,9235.871
104857600,20,9245.314
104857600,20,9249.539
104857600,20,9253.304
