Flow Size, Window Size, Bandwidth
64,50,16.281
128,50,29.574
256,50,64.072
512,50,133.891
1024,50,310.080
2048,50,487.721
4096,50,866.122
8192,50,1567.922
16384,50,2535.487
1073741824,50,9230.518
2147483648,50,9237.924
4294967296,50,9240.528
8589934592,50,9241.429
17179869184,50,9242.465
34359738368,50,9242.323
104857600,50,9170.755
104857600,50,9238.476
104857600,50,9242.086
104857600,50,9251.052
104857600,50,9260.748
104857600,50,9266.046
104857600,50,9274.618
104857600,50,9272.216
