0.1,0.55,27.72,62729,161,0.69,66397
0.2,0.86,30.45,125240,258,1.05,132418
0.3,1.09,31.68,187219,301,1.32,197629
0.4,1.30,34.66,248735,307,1.56,262136
0.5,1.39,36.51,310753,300,1.68,327264
0.6,1.44,39.27,372535,259,1.75,391869
0.7,1.46,41.25,433673,240,1.79,455947
0.8,1.47,41.46,495309,204,1.82,520076
0.9,1.54,46.75,558277,183,1.91,585574
1.0,1.52,47.06,619064,152,1.90,648611
