Flow Size, Window Size, Latency (avg), Latency (max), Latency (min)
64,20,0.047,0.047,0.047
128,20,0.022,0.022,0.022
256,20,0.028,0.028,0.028
512,20,0.028,0.028,0.028
1024,20,0.038,0.038,0.038
2048,20,0.031,0.031,0.031
4096,20,0.030,0.030,0.030
8192,20,0.031,0.031,0.031
16384,20,0.036,0.039,0.035
1073741824,20,0.017,0.307,0.007
2147483648,20,0.017,0.296,0.007
4294967296,20,0.017,0.383,0.007
8589934592,20,0.017,0.392,0.007
17179869184,20,0.017,0.400,0.007
34359738368,20,0.017,0.413,0.007
104857600,20,0.017,0.266,0.007
