Flow Size, Window Size, Latency (avg), Latency (max), Latency (min)
64,50,0.028,0.028,0.028
128,50,0.028,0.028,0.028
256,50,0.048,0.048,0.048
512,50,0.029,0.029,0.029
1024,50,0.029,0.029,0.029
2048,50,0.030,0.030,0.030
4096,50,0.032,0.032,0.032
8192,50,0.032,0.032,0.032
16384,50,0.050,0.052,0.049
1073741824,50,0.042,0.416,0.008
2147483648,50,0.043,0.359,0.007
4294967296,50,0.043,0.392,0.007
8589934592,50,0.043,0.454,0.007
17179869184,50,0.043,0.426,0.007
34359738368,50,0.043,0.450,0.007
104857600,50,0.039,0.317,0.010
