Flow Size, Window Size, Latency (avg), Latency (max), Latency (min)
64,20,0.027,0.027,0.027
128,20,0.023,0.023,0.023
256,20,0.027,0.027,0.027
512,20,0.029,0.029,0.029
1024,20,0.031,0.031,0.031
2048,20,0.031,0.031,0.031
4096,20,0.031,0.031,0.031
8192,20,0.031,0.031,0.031
16384,20,0.034,0.038,0.031
1073741824,20,0.017,0.400,0.007
2147483648,20,0.017,0.329,0.007
4294967296,20,0.017,0.399,0.007
8589934592,20,0.017,0.413,0.007
17179869184,20,0.017,0.433,0.006
34359738368,20,0.017,0.396,0.006
104857600,20,0.016,0.323,0.007
