Flow Size, Window Size, Overall Latency
64,50,0.031
128,50,0.035
256,50,0.032
512,50,0.031
1024,50,0.026
2048,50,0.034
4096,50,0.038
8192,50,0.042
16384,50,0.052
1073741824,50,930.602
2147483648,50,1859.711
4294967296,50,3718.374
8589934592,50,7436.022
17179869184,50,14870.378
34359738368,50,29741.215
104857600,50,91.471
104857600,50,181.602
104857600,50,272.296
104857600,50,362.709
104857600,50,452.912
104857600,50,543.184
104857600,50,633.129
104857600,50,723.763
