Flow Size, Window Size, Overall Latency
64,20,0.042
128,20,0.024
256,20,0.030
512,20,0.031
1024,20,0.033
2048,20,0.043
4096,20,0.035
8192,20,0.055
16384,20,0.053
1073741824,20,933.727
2147483648,20,1867.867
4294967296,20,3737.547
8589934592,20,7471.898
17179869184,20,14932.087
34359738368,20,29860.846
104857600,20,91.834
104857600,20,181.829
104857600,20,272.580
104857600,20,363.184
104857600,20,454.132
104857600,20,544.402
104857600,20,634.845
104857600,20,725.242
