Flow Size, Window Size, Overall Latency
64,20,0.030
128,20,0.031
256,20,0.031
512,20,0.032
1024,20,0.033
2048,20,0.036
4096,20,0.037
8192,20,0.041
16384,20,0.050
1073741824,20,935.044
2147483648,20,1867.425
4294967296,20,3744.696
8589934592,20,7469.631
17179869184,20,14941.210
34359738368,20,29864.840
104857600,20,93.121
104857600,20,181.846
104857600,20,273.173
104857600,20,363.713
104857600,20,453.789
104857600,20,544.241
104857600,20,635.135
104857600,20,725.188
