Flow Size, Window Size, Latency (avg), Latency (max), Latency (min)
64,50,0.030,0.030,0.030
128,50,0.030,0.030,0.030
256,50,0.030,0.030,0.030
512,50,0.028,0.028,0.028
1024,50,0.024,0.024,0.024
2048,50,0.031,0.031,0.031
4096,50,0.032,0.032,0.032
8192,50,0.033,0.033,0.033
16384,50,0.034,0.038,0.033
1073741824,50,0.043,0.315,0.008
2147483648,50,0.043,0.462,0.007
4294967296,50,0.043,0.360,0.007
8589934592,50,0.043,0.370,0.007
17179869184,50,0.043,0.460,0.007
34359738368,50,0.043,0.453,0.007
104857600,50,0.042,0.445,0.010
