Flow Size, Window Size, Overall Latency
64,20,0.032
128,20,0.030
256,20,0.033
512,20,0.033
1024,20,0.033
2048,20,0.036
4096,20,0.036
8192,20,0.041
16384,20,0.051
1073741824,20,934.811
2147483648,20,1866.998
4294967296,20,3738.901
8589934592,20,7468.437
17179869184,20,14932.201
34359738368,20,29867.427
104857600,20,93.822
104857600,20,182.613
104857600,20,272.723
104857600,20,363.456
104857600,20,453.817
104857600,20,544.198
104857600,20,634.995
104857600,20,725.439
