0.1,216.01,767,16089.36
0.2,239.85,2472,51136.03
0.3,248.40,4505,114081.00
0.4,307.44,7604,204875.88
0.5,312.86,11766,321153.23
0.6,328.79,17332,453000.20
0.7,424.92,24790,603978.50
0.8,502.76,33236,756956.83
0.9,592.70,42675,898843.11
1.0,654.54,54339,1043459.97
